Bits Per Second,Bytes,Interval 1,Interval 2,Interval 3,Interval 4,Interval 5
1600670000.0,6002523976,2643280000.0,801111000.0,562038000.0,1239420000.0,2011168768
2222000000.0,8332541024,1716510000.0,2475830000.0,2643120000.0,2602380000.0,2118280000.0
1877530000.0,7040747960,1972920000.0,2384480000.0,2105820000.0,1711670000.0,1444990000.0
1526670000.0,5725076744,1874360000.0,452981000.0,954212000.0,1325400000.0,1688200000.0
2256360000.0,8461373520,2330450000.0,2611390000.0,2644650000.0,2702550000.0,2209820000.0
1862720000.0,6985259152,2568090000.0,2729710000.0,1354600000.0,1359390000.0,1182090000.0
2434470000.0,9129290016,2881950000.0,2160070000.0,2229250000.0,2348820000.0,2071990000.0
1823240000.0,6837209840,1753190000.0,1628050000.0,1705970000.0,2345030000.0,2046840000.0
1297060000.0,4863989832,1522200000.0,1601160000.0,1296830000.0,835413000.0,1186640000.0
832932000.0,3123509760,1837380000.0,1664230000.0,327112000.0,380048000.0,396568000.0
2694660000.0,10105154208,2467810000.0,1916810000.0,2462060000.0,2847900000.0,3250180000.0
2127160000.0,7976880992,1528080000.0,1706400000.0,2583360000.0,2198240000.0,2020810000.0
1897110000.0,7114175440,1528180000.0,1445810000.0,2147950000.0,2543060000.0,1535120000.0
1541090000.0,5779108456,1860840000.0,1784960000.0,1390240000.0,978996000.0,1491230000.0
2101990000.0,7882540024,2581190000.0,1998580000.0,2044730000.0,2048917504,1971310000.0
2043670000.0,7663964264,1830260000.0,1763840000.0,2137440000.0,2441570000.0,1729400000.0
1639210000.0,6147061176,1652480000.0,1644560000.0,2012880000.0,2832500000.0,744492000.0
1834320000.0,6878720296,2595180000.0,1755320000.0,1474300000.0,285210000.0,1826630000.0
2136040000.0,8010182424,2662150000.0,1478490000.0,1616910000.0,2984220000.0,2288010000.0
1418590000.0,5319755072,1927200000.0,1904860000.0,1410440000.0,650878000.0,1068100000.0
2053040000.0,7698916088,1928400000.0,1960780000.0,2092480000.0,1905490000.0,2028510000.0
1827610000.0,6853558640,1742900000.0,1669740000.0,2244560000.0,2424560000.0,1379930000.0
1778320000.0,6668713696,2706310000.0,1755320000.0,1121970000.0,1298150000.0,1750850000.0
1944300000.0,7291164000,1701960000.0,1877120000.0,1899950000.0,1795610000.0,2053540000.0
1874170000.0,7028162024,2983800000.0,2189480000.0,2185190000.0,1382050000.0,1535100000.0
2513360000.0,9425148592,1967890000.0,1788650000.0,1795510000.0,3177910000.0,2825140000.0
1086300000.0,4073633784,1173250000.0,1330610000.0,1263900000.0,564133000.0,965444000.0
2475950000.0,9284942184,2631440000.0,2025580000.0,2315570000.0,2426390000.0,2975840000.0
1035070000.0,3881537760,1704600000.0,1168290000.0,1075670000.0,1314580000.0,297309000.0
2124480000.0,7966833736,1778560000.0,2009310000.0,1823230000.0,1664560000.0,2305170000.0
